%time,field.data
1635234546813448913,0
1635234546820637402,0
1635234546854324635,0
1635234546887774979,0
1635234546921117997,0
1635234546954584824,0
1635234546988225434,0
1635234547022111809,0
1635234547055863521,0
1635234547089178995,0
1635234547122123359,0
1635234547156000297,0
1635234547190367637,0
1635234547223604412,0
1635234547257322085,0
1635234547291310776,0
1635234547324043480,0
1635234547357354240,0
1635234547390661574,0
1635234547423741260,0
1635234547457469181,0
1635234547491675162,0
1635234547524964233,0
1635234547557943088,0
1635234547592231119,0
1635234547626042464,0
1635234547658676618,0
1635234547692726461,0
1635234547726337602,0
1635234547759001482,0
1635234547792342109,0
1635234547826516430,0
1635234547859434539,0
1635234547892933235,0
1635234547926332354,0
1635234547960407262,0
1635234547994208008,0
1635234548027705191,0
1635234548060441207,0
1635234548093678113,0
1635234548127029330,0
1635234548160960231,0
1635234548195244495,0
1635234548227582349,0
1635234548261843511,0
1635234548295989568,0
1635234548329290227,0
1635234548361900108,0
1635234548395563600,0
1635234548428645449,0
1635234548462814482,0
1635234548495942696,0
1635234548530010728,0
1635234548563333168,0
1635234548596387012,0
1635234548629520319,0
1635234548663495475,0
1635234548696893954,0
1635234548730193819,0
1635234548763652435,0
1635234548797028568,0
1635234548830432271,0
1635234548864006880,0
1635234548897761556,0
1635234548931329885,0
1635234548964485920,0
1635234548998806808,0
1635234549032485546,0
1635234549065099130,0
1635234549098371577,0
1635234549131733674,0
1635234549165555658,0
1635234549199944833,0
1635234549232930836,0
1635234549265621376,0
1635234549299981615,0
1635234549333541921,0
1635234549366236214,0
1635234549400614328,0
1635234549433716293,0
1635234549466462501,0
1635234549500099489,0
1635234549534213002,0
1635234549567066299,0
1635234549600587736,0
1635234549634350389,0
1635234549667481965,0
1635234549701660409,0
1635234549734185010,0
1635234549768085011,0
1635234549802416616,0
1635234549835640108,0
1635234549868787635,0
1635234549902958930,0
1635234549936317012,0
1635234549969350175,0
1635234550007419521,0
1635234550036889509,0
1635234550069629274,0
1635234550104959217,0
1635234550137498813,0
1635234550170511144,0
1635234550205378611,0
1635234550238053499,0
1635234550270576815,0
1635234550305176156,0
1635234550338349541,0
1635234550371227852,0
1635234550407246316,0
1635234550438806954,0
1635234550472544850,0
1635234550507825340,0
1635234550540082516,0
1635234550572016466,0
1635234550606458446,0
1635234550638480014,0
1635234550672203093,0
1635234550706467816,0
1635234550738935498,0
1635234550772888876,0
1635234550806486704,0
1635234550840216360,0
1635234550873389036,0
1635234550907584284,0
1635234550941274822,0
1635234550973568332,0
1635234551007079919,0
1635234551040248662,0
1635234551073987746,0
1635234551107517995,0
1635234551141814436,0
1635234551174775942,0
1635234551209000189,0
1635234551242258752,0
1635234551275104750,0
1635234551308329502,0
1635234551342687227,0
1635234551375385066,0
