%time,field.header.seq,field.header.stamp,field.header.frame_id,field.enabled,field.override_active,field.command_output_fault,field.input_output_fault,field.output_reported_fault,field.pacmod_fault,field.vehicle_fault,field.manual_input,field.command,field.output
1635234546808911281,352,1635234546800344861,pacmod,0,0,0,0,0,0,0,-0.333,0.0,-0.333
1635234546808951031,353,1635234546807354837,pacmod,0,0,0,0,0,0,0,-0.333,0.0,-0.333
1635234546828826920,354,1635234546828702807,pacmod,0,0,0,0,0,0,0,-0.333,0.0,-0.333
1635234546860799631,355,1635234546860574907,pacmod,0,0,0,0,0,0,0,-0.333,0.0,-0.333
1635234546894618573,356,1635234546894538086,pacmod,0,0,0,0,0,0,0,-0.333,0.0,-0.333
1635234546928154500,357,1635234546927936971,pacmod,0,0,0,0,0,0,0,-0.332,0.0,-0.332
1635234546961231222,358,1635234546961088025,pacmod,0,0,0,0,0,0,0,-0.326,0.0,-0.326
1635234546994789731,359,1635234546994727295,pacmod,0,0,0,0,0,0,0,-0.319,0.0,-0.319
1635234547029481617,360,1635234547029334173,pacmod,0,0,0,0,0,0,0,-0.307,0.0,-0.307
1635234547062727348,361,1635234547061918220,pacmod,0,0,0,0,0,0,0,-0.285,0.0,-0.285
1635234547095618845,362,1635234547095416362,pacmod,0,0,0,0,0,0,0,-0.255,0.0,-0.255
1635234547129125600,363,1635234547129006619,pacmod,0,0,0,0,0,0,0,-0.23,0.0,-0.23
1635234547162318228,364,1635234547162145046,pacmod,0,0,0,0,0,0,0,-0.192,0.0,-0.192
1635234547197330080,365,1635234547197254536,pacmod,0,0,0,0,0,0,0,-0.152,0.0,-0.152
1635234547230538900,366,1635234547230379916,pacmod,0,0,0,0,0,0,0,-0.126,0.0,-0.126
1635234547263067290,367,1635234547262769576,pacmod,0,0,0,0,0,0,0,-0.091,0.0,-0.091
1635234547297767614,368,1635234547297571367,pacmod,0,0,0,0,0,0,0,-0.059,0.0,-0.059
1635234547331569798,369,1635234547331250476,pacmod,0,0,0,0,0,0,0,-0.033,0.0,-0.033
1635234547363609822,370,1635234547363320271,pacmod,0,0,0,0,0,0,0,-0.017,0.0,-0.017
1635234547397706539,371,1635234547397226328,pacmod,0,0,0,0,0,0,0,0.0,0.0,0.0
1635234547430574048,372,1635234547430382964,pacmod,0,0,0,0,0,0,0,0.011,0.0,0.011
1635234547464002357,373,1635234547463748894,pacmod,0,0,0,0,0,0,0,0.02,0.0,0.02
1635234547500210318,374,1635234547498526969,pacmod,0,0,0,0,0,0,0,0.025,0.0,0.025
1635234547531859448,375,1635234547531674985,pacmod,0,0,0,0,0,0,0,0.029,0.0,0.029
1635234547564409805,376,1635234547564147619,pacmod,0,0,0,0,0,0,0,0.03,0.0,0.03
1635234547598927191,377,1635234547598697009,pacmod,0,0,0,0,0,0,0,0.034,0.0,0.034
1635234547632873228,378,1635234547632444750,pacmod,0,0,0,0,0,0,0,0.037,0.0,0.037
1635234547664757063,379,1635234547664409391,pacmod,0,0,0,0,0,0,0,0.041,0.0,0.041
1635234547699491606,380,1635234547699143288,pacmod,0,0,0,0,0,0,0,0.048,0.0,0.048
1635234547733022752,381,1635234547732716200,pacmod,0,0,0,0,0,0,0,0.058,0.0,0.058
1635234547765171465,382,1635234547764854053,pacmod,0,0,0,0,0,0,0,0.069,0.0,0.069
1635234547799022966,383,1635234547798660826,pacmod,0,0,0,0,0,0,0,0.078,0.0,0.078
1635234547833512681,384,1635234547833156945,pacmod,0,0,0,0,0,0,0,0.093,0.0,0.093
1635234547865602039,385,1635234547865334239,pacmod,0,0,0,0,0,0,0,0.109,0.0,0.109
1635234547899506904,386,1635234547899158293,pacmod,0,0,0,0,0,0,0,0.123,0.0,0.123
1635234547932609038,387,1635234547932311749,pacmod,0,0,0,0,0,0,0,0.126,0.0,0.126
1635234547966174663,388,1635234547965860897,pacmod,0,0,0,0,0,0,0,0.119,0.0,0.119
1635234548001151624,389,1635234548000816688,pacmod,0,0,0,0,0,0,0,0.104,0.0,0.104
1635234548034536767,390,1635234548034089092,pacmod,0,0,0,0,0,0,0,0.069,0.0,0.069
1635234548066490918,391,1635234548066123401,pacmod,0,0,0,0,0,0,0,0.041,0.0,0.041
1635234548100877773,392,1635234548100260679,pacmod,0,0,0,0,0,0,0,0.001,0.0,0.001
1635234548133883023,393,1635234548133442264,pacmod,0,0,0,0,0,0,0,-0.03,0.0,-0.03
1635234548167252129,394,1635234548166929490,pacmod,0,0,0,0,0,0,0,-0.044,0.0,-0.044
1635234548215249255,395,1635234548207455885,pacmod,0,0,0,0,0,0,0,-0.042,0.0,-0.042
1635234548234537113,396,1635234548233990218,pacmod,0,0,0,0,0,0,0,-0.038,0.0,-0.038
1635234548268207510,397,1635234548267857095,pacmod,0,0,0,0,0,0,0,-0.04,0.0,-0.04
1635234548308106908,398,1635234548302172931,pacmod,0,0,0,0,0,0,0,-0.049,0.0,-0.049
1635234548335816459,399,1635234548335546071,pacmod,0,0,0,0,0,0,0,-0.063,0.0,-0.063
1635234548368396579,400,1635234548368055816,pacmod,0,0,0,0,0,0,0,-0.077,0.0,-0.077
1635234548402120249,401,1635234548401746387,pacmod,0,0,0,0,0,0,0,-0.108,0.0,-0.108
