%time,field.header.seq,field.header.stamp,field.header.frame_id,field.enabled,field.override_active,field.command_output_fault,field.input_output_fault,field.output_reported_fault,field.pacmod_fault,field.vehicle_fault,field.manual_input,field.command,field.output
1635234546828829106,354,1635234546828728138,pacmod,0,0,0,0,0,0,0,1,1,1
1635234546862016814,355,1635234546861975939,pacmod,0,0,0,0,0,0,0,1,1,1
1635234546895699834,356,1635234546895587575,pacmod,0,0,0,0,0,0,0,1,1,1
1635234546929082882,357,1635234546928945262,pacmod,0,0,0,0,0,0,0,1,1,1
1635234546963172971,358,1635234546963091527,pacmod,0,0,0,0,0,0,0,1,1,1
1635234546995930691,359,1635234546995850070,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547030543033,360,1635234547030421179,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547063472394,361,1635234547062803212,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547096498551,362,1635234547096368002,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547129979635,363,1635234547129858019,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547163046130,364,1635234547163001376,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547198107628,365,1635234547198047764,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547231516208,366,1635234547231407476,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547263898695,367,1635234547263683594,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547298556793,368,1635234547298429409,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547332334919,369,1635234547332119292,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547364546297,370,1635234547364296247,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547398326804,371,1635234547398071495,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547431519134,372,1635234547431353325,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547464876090,373,1635234547464728061,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547500228288,374,1635234547499478558,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547532942560,375,1635234547532794536,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547565300586,376,1635234547565196868,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547599837372,377,1635234547599703624,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547633600949,378,1635234547633384774,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547665575859,379,1635234547665349093,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547700716229,380,1635234547700384030,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547734169116,381,1635234547733885177,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547766295847,382,1635234547766078746,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547800279785,383,1635234547799961340,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547834303348,384,1635234547834111299,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547866644777,385,1635234547866411403,pacmod,0,0,0,0,0,0,0,1,1,1
1635234547900803802,386,1635234547900400246,pacmod,0,0,0,0,0,0,0,1,1,1
